Time (hpf),23022021_002,08042021_001,23022021_001,23022021_004,08042021_002,23022021_003
4.125,,17.106,,,20.043,
4.375,33.632,20.997333333333334,54.241,54.918,24.91433333333333,65.566
4.625,37.475,27.909666666666666,68.402,66.88,33.36433333333333,82.291
4.875,42.706,37.429,86.465,80.209,44.965666666666664,103.031
5.125,48.959,49.90833333333334,106.701,93.948,59.60466666666667,126.755
5.375,54.957,65.02533333333334,127.42,106.869,77.08933333333334,153.619
5.625,60.968,83.073,148.336,120.355,97.98,181.494
5.875,67.09,103.824,169.242,133.954,121.38099999999999,213.223
6.125,73.603,122.7145,192.219,146.643,142.255,240.795
6.375,79.65,142.45866666666666,215.34,160.379,163.85266666666666,267.696
6.625,86.234,166.511,240.022,173.777,189.32666666666668,292.775
6.875,93.493,190.96366666666668,263.143,184.773,215.09266666666667,313.897
7.125,100.766,215.75833333333333,283.765,195.512,239.03833333333333,330.192
7.375,108.57,240.90900000000002,305.12,210.118,258.9446666666667,350.995
7.625,118.3,259.7093333333333,330.329,225.137,273.57733333333334,377.164
7.875,125.725,270.1423333333333,352.257,234.559,283.96033333333327,397.418
8.125,130.915,281.0273333333334,369.694,240.702,295.71933333333334,413.813
8.375,135.31,292.631,385.394,246.198,307.97,427.019
8.625,140.006,304.7536666666667,400.083,253.836,319.53700000000003,443.063
8.875,144.43,322.722,417.545,263.174,335.06266666666664,463.2
9.125,147.76,342.49766666666665,434.329,271.951,353.452,478.338
9.375,149.894,362.27233333333334,451.436,279.767,372.38466666666665,499.684
9.625,148.722,380.662,466.979,276.661,390.453,503.875
