 ,Area,Mean,Perim.,Major,Minor,Angle,%Area
1,1168.952,127.012,138.884,43.694,34.063,130.949,63.344
2,1063.759,136.172,138.538,42.494,31.873,126.180,82.275
3,1571.302,129.176,163.610,50.696,39.463,19.616,66.501
4,1274.933,127.825,149.161,45.888,35.376,166.348,58.376
5,1118.926,122.550,139.593,38.956,36.571,156.371,42.445
6,1398.063,122.037,158.128,48.713,36.542,131.406,43.055
7,873.335,136.705,125.788,37.249,29.852,41.669,80.316
8,615.829,144.058,99.585,32.564,24.079,25.535,79.542
9,251.554,148.412,72.152,22.879,13.999,24.411,89.699
10,1147.473,126.333,158.671,49.355,29.602,1.444,57.436
11,885.403,134.661,124.778,35.799,31.491,90.560,77.202
12,624.310,144.152,100.223,31.346,25.359,143.411,84.891
13,1510.584,134.230,174.491,53.543,35.921,60.495,76.364
14,1362.387,129.040,162.827,47.012,36.898,173.233,65.181
15,1042.387,143.668,138.073,38.930,34.093,129.789,93.085
16,800.184,141.229,112.424,33.822,30.123,120.975,85.506
17,851.974,142.541,121.132,36.437,29.771,40.501,86.887
18,1073.722,134.180,138.240,48.786,28.022,47.832,80.032
19,1550.659,133.121,158.408,52.210,37.816,102.520,67.111
20,1869.318,129.399,179.725,53.355,44.609,166.458,61.488
21,984.985,124.435,127.126,37.364,33.565,166.577,51.559
22,836.118,136.724,116.913,35.569,29.930,160.534,85.043
23,901.142,122.792,120.998,37.419,30.663,88.708,43.632
24,802.960,133.996,123.042,33.076,30.909,168.894,77.191
25,0.000,NaN,0.767,NaN,NaN,0.000,NaN
26,891.485,146.659,126.572,40.202,28.234,112.014,87.943
27,747.382,143.031,110.822,33.892,28.077,132.609,87.272
28,695.614,133.860,110.170,35.060,25.262,16.872,82.040
29,733.078,123.316,116.168,35.840,26.043,158.503,47.191
30,830.778,140.274,119.868,38.168,27.714,127.214,87.836
31,1257.406,126.719,152.204,46.277,34.596,104.618,61.383
32,1232.470,142.517,146.697,47.053,33.350,68.030,88.340
33,1634.020,132.760,169.025,50.992,40.801,102.585,66.849
34,748.405,125.081,117.897,32.582,29.247,84.026,54.776
35,1847.264,130.172,190.432,51.154,45.979,39.906,63.537
36,538.290,140.643,100.730,36.992,18.527,67.405,93.479
37,893.802,138.014,122.323,41.702,27.290,89.950,82.159
38,677.994,149.728,113.011,35.296,24.457,41.476,95.281
39,1270.969,129.691,142.702,42.240,38.311,33.440,68.853
40,843.505,134.232,120.333,37.989,28.271,12.514,75.475
41,994.019,143.775,129.480,43.746,28.931,1.674,86.246
42,882.616,140.658,132.609,50.522,22.243,174.298,88.976
