 ,Area,Mean,Min,Max,MinThr,MaxThr
1,577.088,4.476,1,66,0,255
2,436.771,4.037,1,48,0,255
3,361.707,3.855,1,51,0,255
4,354.947,4.193,1,45,0,255
5,447.709,5.397,1,74,0,255
6,645.956,5.573,1,96,0,255
7,553.006,7.903,1,129,0,255
8,428.087,3.050,1,29,0,255
9,321.100,9.371,1,173,0,255
10,784.536,4.372,1,65,0,255
11,617.367,4.963,1,102,0,255
12,744.774,5.545,1,118,0,255
13,453.061,5.327,1,144,0,255
14,899.972,3.185,1,75,0,255
15,617.273,6.210,1,142,0,255
16,954.709,3.780,1,74,0,255
17,450.479,8.699,1,245,0,255
18,708.580,12.421,1,255,0,255
19,762.237,5.057,1,105,0,255
20,763.082,6.448,1,100,0,255
