 ,Mean,%Area,Slice,MinThr,MaxThr,microns
1,105.992,10.176,1,75.749,1.000E30,0.000
2,110.699,15.133,2,75.749,1.000E30,1.500
3,115.570,20.037,3,75.749,1.000E30,2.999
4,118.547,24.190,4,75.749,1.000E30,4.499
5,122.572,28.362,5,75.749,1.000E30,5.999
6,127.679,31.593,6,75.749,1.000E30,7.498
7,128.352,33.636,7,75.749,1.000E30,8.998
8,128.875,35.765,8,75.749,1.000E30,10.498
9,130.968,38.223,9,75.749,1.000E30,11.997
10,137.902,40.577,10,75.749,1.000E30,13.497
11,141.479,43.296,11,75.749,1.000E30,14.997
12,142.435,44.468,12,75.749,1.000E30,16.496
13,147.314,46.809,13,75.749,1.000E30,17.996
14,156.465,49.200,14,75.749,1.000E30,19.496
15,159.632,49.563,15,75.749,1.000E30,20.995
16,159.523,50.603,16,75.749,1.000E30,22.495
17,161.533,50.568,17,75.749,1.000E30,23.994
18,162.474,50.944,18,75.749,1.000E30,25.494
19,165.189,51.709,19,75.749,1.000E30,26.994
20,164.588,52.139,20,75.749,1.000E30,28.493
21,167.774,52.671,21,75.749,1.000E30,29.993
22,170.960,53.786,22,75.749,1.000E30,31.493
23,175.668,55.633,23,75.749,1.000E30,32.992
24,176.113,55.582,24,75.749,1.000E30,34.492
25,177.621,55.836,25,75.749,1.000E30,35.992
26,177.587,56.489,26,75.749,1.000E30,37.491
27,180.550,56.569,27,75.749,1.000E30,38.991
28,185.464,59.867,28,75.749,1.000E30,40.491
29,189.345,61.392,29,75.749,1.000E30,41.990
30,193.823,62.973,30,75.749,1.000E30,43.490
31,196.134,63.462,31,75.749,1.000E30,44.990
32,198.816,65.103,32,75.749,1.000E30,46.489
33,208.012,66.677,33,75.749,1.000E30,47.989
34,211.881,67.249,34,75.749,1.000E30,49.489
35,217.873,68.358,35,75.749,1.000E30,50.988
36,222.491,68.449,36,75.749,1.000E30,52.488
37,227.922,67.812,37,75.749,1.000E30,53.988
38,230.191,68.591,38,75.749,1.000E30,55.487
39,231.459,69.038,39,75.749,1.000E30,56.987
40,233.907,69.618,40,75.749,1.000E30,58.487
41,237.888,69.535,41,75.749,1.000E30,59.986
42,242.454,69.915,42,75.749,1.000E30,61.486
43,257.084,63.583,43,75.749,1.000E30,62.985
44,290.482,51.020,44,75.749,1.000E30,64.485
45,325.101,40.078,45,75.749,1.000E30,65.985
