 ,Mean,%Area,Slice,microns
1,174.509,39.571,1,0.000
2,188.993,42.207,2,3.013
3,206.944,44.772,3,6.027
4,214.402,46.631,4,9.040
5,219.306,48.260,5,12.054
6,231.868,50.055,6,15.067
7,251.777,51.953,7,18.080
8,282.781,54.559,8,21.094
9,309.150,56.683,9,24.107
10,334.712,58.873,10,27.121
11,353.562,60.799,11,30.134
12,369.002,62.843,12,33.147
13,381.761,64.818,13,36.161
14,396.963,66.590,14,39.174
15,417.097,68.752,15,42.188
16,432.365,70.255,16,45.201
17,458.622,72.045,17,48.214
18,482.997,73.362,18,51.228
19,499.817,73.986,19,54.241
20,521.836,74.731,20,57.255
21,541.703,75.019,21,60.268
22,574.463,75.943,22,63.281
23,597.471,76.793,23,66.295
24,610.426,76.763,24,69.308
25,625.201,76.695,25,72.322
26,645.285,77.116,26,75.335
27,665.574,77.736,27,78.348
28,679.392,77.763,28,81.362
29,688.881,78.158,29,84.375
30,695.561,78.743,30,87.389
31,685.740,77.934,31,90.402
32,686.711,77.998,32,93.415
