 ,Area,Mean,X,Y,Perim.,%Area
1,617.413,221.857,130.073,40.053,98.027,1.186
2,474.374,291.442,108.621,41.499,92.941,4.879
3,899.597,284.661,94.663,57.689,127.399,5.521
4,1130.000,262.910,55.952,64.054,146.361,1.957
5,713.697,264.899,151.395,64.824,106.882,2.749
6,433.063,345.255,173.311,68.034,84.625,6.114
7,298.473,479.568,114.498,78.627,72.071,15.618
8,216.273,611.757,184.532,86.958,63.255,25.461
9,364.993,549.854,175.613,97.475,85.488,17.916
10,780.452,552.619,117.642,105.503,127.806,20.842
11,458.131,538.104,88.304,97.982,89.930,20.514
12,473.435,508.000,197.137,100.361,93.462,14.923
13,392.268,572.176,101.055,105.960,94.486,21.446
14,899.221,506.473,161.868,114.595,127.637,18.538
15,1105.448,544.616,135.346,129.479,134.228,19.454
16,747.121,455.422,186.845,128.695,113.103,14.653
17,650.275,527.488,21.527,134.656,133.412,18.972
18,457.098,480.988,43.388,133.714,88.621,17.213
19,821.340,733.497,79.116,126.447,147.122,27.938
20,275.517,656.783,58.820,120.383,65.636,25.984
21,395.319,526.730,66.070,102.511,81.508,19.831
22,334.761,570.740,95.065,78.609,82.768,20.909
23,526.764,344.570,71.264,84.031,105.591,9.767
24,889.269,309.166,42.781,103.536,145.665,7.834
25,426.913,372.528,20.079,108.697,83.368,11.304
26,508.174,314.169,29.297,82.291,92.784,6.790
27,317.345,316.641,26.793,62.539,87.163,5.917
28,667.738,259.178,46.456,38.528,110.511,2.756
29,835.142,569.984,141.527,91.688,116.960,20.776
30,461.887,470.670,127.081,64.719,99.113,15.652
