relative radius,mean(pressure),std(pressure)
0.05,-9.73505809156431,0.6047985404628863
0.15000000000000002,-10.327809669521082,0.5540232575738827
0.25,-11.325545456765719,0.5722396230418249
0.35000000000000003,-12.530521251270953,0.4125336164555565
0.45,-14.41875635377147,0.5384805964559394
0.55,-17.313528330139928,0.5618235797174399
0.65,-20.418185178349713,0.7420307861520462
0.75,-24.89353412826787,0.932806558908794
0.8500000000000001,-30.034831812258656,0.9986220330236233
0.9500000000000001,-34.43796566975954,1.0648869676627397
