relative radius,mean(tension),std(tension)
0.05,0.03484944655494172,0.0038130663221094376
0.15000000000000002,0.03628652315006198,0.0023531198646051985
0.25,0.037229813412737324,0.002884845252604542
0.35000000000000003,0.03873346552280229,0.0017994352365590742
0.45,0.04135519115645526,0.002035351971771408
0.55,0.044935224748969195,0.001496389622643972
0.65,0.049003107755997914,0.0016496746090697498
0.75,0.052922370871956,0.0019477689223963612
0.8500000000000001,0.056906303678550194,0.001530656157165694
0.9500000000000001,0.05752164009248304,0.0018108896268043014
