time (h),mean(ker),std(ker)
0.0,0.0,0.0
0.1033333333333999,1.596116472146562,0.7826722649934699
0.2066666666668161,3.3683315774611144,1.3407997443265511
0.3100000000002323,5.334429639983737,1.76779971133983
0.4133333333336485,7.230498649503789,2.2509623973328328
0.5166666666670647,9.029985319401971,2.8448245489667037
0.6200000000003885,10.795533197421063,3.544743345022511
0.723333333333552,12.598839179953067,4.346566950325917
0.8266666666667155,14.489941105629187,5.247647611990478
0.9299999999998791,16.500978925785255,6.248250774687304
1.0333333333330428,18.65520489967163,7.350136510264997
1.1366666666662062,20.971382393484003,8.55469043747366
1.2399999999993698,23.46454716563504,9.861897829580565
1.3433333333325335,26.139625887518825,11.27667234095128
1.446666666665697,29.02090821631659,12.785951489198291
1.5499999999988605,32.110416569118016,14.395450480358766
1.6533333333320241,35.41352546864289,16.102025508141978
1.7566666666651878,38.935608754392,17.902197983650236
1.8599999999983512,42.67285401473069,19.791546837474577
1.9633333333315148,46.64466728132361,21.768639547029483
2.0666666666646782,50.801872407766524,23.847667694227187
2.169999999997842,55.22194086843443,25.98422291868503
2.2733333333310055,59.87227521967682,28.192329835929925
2.376666666664169,64.76777310120093,30.471955212470885
2.479999999997333,69.8952334759277,32.81725733587712
2.583333333330496,75.28798424366836,35.206649860678425
2.6866666666636596,80.93071964777924,37.61814974145669
2.7899999999968235,86.81364692891879,40.06768908750535
2.893333333329987,92.97474785062663,42.47229966008208
2.9966666666631503,99.43053786741505,44.80532093997266
3.099999999996314,106.14701883834563,47.03424566449901
3.2033333333294776,113.10605420766814,49.13284360216252
3.306666666662641,120.30287575679574,51.093764007936436
3.409999999995805,127.74747356317444,52.90480208623894
3.5133333333289682,135.44964184979008,54.54508827233309
3.6166666666621317,143.44422826364155,55.977698519578475
3.7199999999952955,151.71506460553522,57.20875722708138
3.823333333328459,160.27577737660678,58.22570679733539
3.9266666666616223,169.1108376952086,59.015434032996204
4.029999999995123,178.2619547426607,59.570815494523195
4.133333333329297,187.7733268259912,59.87270966029
4.236666666663472,197.6412617030546,59.91040986178912
4.339999999997645,207.97985468833323,59.657845102480664
4.44333333333182,218.7765100278911,59.110853240810705
4.546666666665994,230.1914641846454,58.235464654864366
4.650000000000167,242.1901629105504,57.07486395879219
4.753333333334342,254.4671884001311,55.77324666404033
4.856666666668516,266.72938042901006,54.475617270298976
4.96000000000269,278.8102639599548,53.2894668590664
5.063333333336864,290.7094157968525,52.2241131990181
5.166666666671039,302.40585808066095,51.28594382360521
5.270000000005212,313.873012744977,50.48870913779801
5.373333333339387,325.1170869077205,49.8364276170933
5.476666666673561,336.1582199638343,49.317627127821154
5.580000000007734,347.03175743343945,48.90556789100361
5.683333333341909,357.75863020595165,48.587024420685594
5.786666666676083,368.36435332323185,48.34700980129339
5.890000000010257,378.8594763061159,48.17575466099249
5.993333333344431,389.2592313409655,48.06716302674764
6.096666666678606,399.57376279832454,48.013601171998104
6.200000000012779,409.8099872348726,48.00898110758282
6.303333333346954,419.9760626219239,48.04816451313371
6.406666666681128,430.07819146688155,48.127159818776626
6.510000000015301,440.12238036133857,48.24230571957062
6.613333333349476,450.11329581977026,48.39050423151455
6.71666666668365,460.05523527038355,48.56936361504937
6.820000000017824,469.9507551958275,48.77650069850701
6.923333333351998,479.803459944411,49.00742881609997
7.026666666686173,489.62121972187,49.263547828937696
7.130000000020346,499.4027497278373,49.543067706727584
7.233333333354521,509.1506533698775,49.843319532417745
7.336666666688695,518.871486659954,50.16402735730725
7.440000000022868,528.5674622583368,50.50531944601139
7.543333333357043,538.2440389604108,50.865452197127965
7.646666666691217,547.9054916663905,51.24654336174415
7.750000000025391,557.548848173989,51.64671485323147
7.853333333359565,567.1750824887469,52.065321429819136
7.95666666669374,576.7861115871573,52.50183715199013
8.060000000027914,586.3838761352962,52.95606761539825
8.163333333362088,595.9708050287958,53.42763017793263
8.266666666696262,605.546914608877,53.91642955911668
8.370000000030435,615.1140338224697,54.42292574408384
8.473333333364609,624.672582170295,54.94643182628303
8.576666666698785,634.2243987034801,55.48669625295833
8.680000000032958,643.7681422897466,56.03977343352243
8.783333333367132,653.314430097698,56.60725065843886
8.886666666701306,662.8621600177995,57.19213300244711
8.990000000035481,672.4079042896532,57.792192375130206
9.093333333369655,681.9517609280521,58.40714929974499
9.196666666703829,691.4949616473244,59.037434881568814
9.300000000038002,701.0376896820225,59.682971649659294
9.403333333372176,710.5805229412325,60.34375490008933
9.506666666706352,720.116889798146,61.01097116970287
9.610000000040525,729.6739520919414,61.690479538815744
9.713333333374699,739.2438508139637,62.38943316842942
9.816666666708873,748.821521646521,63.10307178329333
9.920000000043048,758.407470975877,63.83058682946102
10.023333333377222,768.0025847770382,64.57174063728334
10.126666666711396,777.6052593894995,65.32551550739674
10.23000000004557,787.2175101605986,66.09242224482887
10.333333333379743,796.8407229442436,66.87033375759964
10.436666666713919,806.4732947086841,67.65929649716342
10.540000000048092,816.1145877126083,68.45818524894442
10.643333333382266,825.7641276127491,69.26704325644022
10.74666666671644,835.4224798447401,70.08641847141995
10.850000000050615,845.0902312217422,70.91637891354958
10.953333333384789,854.7660777643325,71.7558257277351
11.056666666718963,864.4503652895634,72.60454675903271
