time (hpf),initial length [measured] (micro m),initial velocity [measured] (micro m/s),velocity before release [measured] (micro m/s),velocity after release [measured] (micro m/s),first height relaxation time [measured] (s),second height relaxation time [measured] (s),first keratin relaxation time [measured] (s),second keratin relaxation time [measured] (s),first rest length relaxation time [computed] (s),second rest length relaxation time [computed] (s),substrate friction [computed] (kg/s),elastic constant [computed] (kg/s^2),residual tension [computed] (micro N)
4.5,22.968182866565222,10.943497878645047,0.25665027948009955,-1.6316957703209334,19.54,58.48063207348488,126.33643322578607,150.34426628971613,29.003648222254615,2493.598192584968,0.29946136075310226,0.005000600889732088,2.711668088491571
4.67,13.405846135664452,2.3847397131119936,0.10041080207421359,-0.6543645020956245,23.34,171.65494100042974,151.89473018283041,1618504.55886146,26.835153732205338,4076.7760669122913,0.7492119502613166,0.004180863988186022,1.2211888136800866
5.15,9.725239511866983,2.8588457135160614,0.2243248703616405,-2.2916339067687668,19.84,44.53529846043513,132.40969190864809,2189188.7192457123,33.657532535605455,567.5676838618828,0.22475991371016504,0.004650775869414552,0.07706723823438237
5.25,13.313885291377785,3.382113273621119,0.2782005522257389,-3.9957248668515035,18.17,30.076420175219795,14.487252483077118,314.38524600365713,40.779625517883915,365.64219259736484,0.13231084359171003,0.004037296516365451,-0.1179964172906325
6.0,6.737793996949555,3.382113273621119,0.2061418277325073,-1.2947123129474123,18.27,76.4949858046362,109.12886695767699,110.2372962119072,23.552367127633197,1255.0325652056952,0.37677657163272704,0.00462529419966271,0.7088143664623419
6.07,12.266361029551225,1.9759579769681457,0.23846723685096616,-2.325756829998396,15.85,34.53426384221578,67.88131840323908,51.04464171704169,26.574992993006152,286.15358243277433,0.22052935426230943,0.005615145286302412,-0.12972994093591833
6.11,12.908984083159034,2.0522385549463484,0.1973870294295912,-1.9581597592742155,12.2,42.559244517867555,75.47289175681661,106.09607103450573,16.466192105306778,442.4896748350528,0.26234024731432826,0.0055712458396773015,-0.027101907593538067
6.18,17.73871282637399,2.5335712842615656,0.2465485891305812,-2.172093942278464,21.46,51.16781453909677,122.0345416587588,151.84449431210433,34.534416628671536,525.8083449263477,0.23380332988551364,0.004124688639527862,0.026870725116508527
6.25,18.169530253756665,3.4063573304599633,0.1980604754528923,-3.497851980363099,15.37,29.674897789478525,50.92680458024927,614.9403084067814,30.009598253250306,510.36586368228984,0.15300326628578476,0.00485619158415778,-0.044302879949262124
6.5,15.556229101039738,4.610478820122566,0.1899791231732777,-1.5680025982857557,10.41,61.53605874472902,47.63712279369901,122.50663709906713,12.425375132424763,1493.3782763994652,0.3216681213140477,0.0050119147965108825,0.9175573827808702
6.41,17.787606420840348,2.3153747727119667,0.1980604754528923,-1.3219526588319237,15.58,65.33978310261264,79.77478332384388,109.16273052142917,19.924518268665075,763.8378384396215,0.37202749429677184,0.005206685930855151,0.2958963974038279
7.04,14.05228822850231,2.493164522863492,0.0849215435382853,-1.4635924171167884,18.06,49.52430687143696,52.69817169608402,110.50517307629508,27.88104677699605,1453.9566730273355,0.36518022569647535,0.007122594355953516,0.34496770551157246
7.15,19.004188577313187,2.7598491480907796,0.17381641861404803,-1.4483284787284239,14.56,60.47246966854877,129.87916745745557,89.20085734063659,18.801819968583136,960.1791086736911,0.3486042945809517,0.005401615917471564,0.396608587773864
7.23,13.219833204294588,2.137585022560441,0.15765371405481843,-1.067449364653915,14.02,65.07409372295722,164.80040488391222,129.5451877504695,17.51529732321261,882.3224300984133,0.4615829373657189,0.00657004498842082,0.4211860959362523
7.4,19.881481191591668,2.024446090645834,0.12532830493635916,-2.3583210523587472,17.95,31.24744187238425,84.8358322262289,86.27232725637015,38.927337887592635,504.7444116742312,0.22768378152301788,0.006835390204819643,-0.10455313623842906
7.7,19.405075432034,1.547646306148562,0.12532830493635916,-1.889685958118652,13.1,34.5216620358164,106.5983425064845,96.57818341232878,20.114924397738367,426.2989335008586,0.2806365632314756,0.0074709795526508044,-0.13116053719074222
7.85,15.812653630426954,1.579971715267021,0.1980604754528923,-1.6605393446382777,14.24,42.559244517867555,81.04004554944014,88.8177038931521,20.13144571775467,339.5043983793578,0.3042541334252491,0.006252783819801278,-0.08477375258119094
7.94,12.719884617708884,1.8547376927739239,0.15765371405481843,-1.1401238505875528,13.21,58.80694449594035,55.73480103751503,100.53492797447247,16.62763343763374,691.841972816187,0.43573466906248604,0.006779760252635883,0.24268683711240183
8.2,22.91959051967938,1.9597952724089163,0.2950367028082696,-1.9485057352125483,15.2,52.643827598901396,115.45517808565828,319.52667499521004,20.13953583054416,349.68911822771764,0.2520508050407182,0.0040670656630314595,-0.07151870152050184
